,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
0,0.65,0,"(0, 0)","(0, 0)",100,100,0.7,0.2
4322,0.65,0,"(66, 60)","(66, 60)",100,100,0.7,0.2
4321,0.65,0,"(66, 57)","(66, 57)",100,100,0.7,0.2
4320,0.65,0,"(66, 56)","(66, 56)",100,100,0.7,0.2
4319,0.65,0,"(66, 54)","(66, 54)",100,100,0.7,0.2
4318,0.65,0,"(66, 50)","(66, 50)",100,100,0.7,0.2
4317,0.65,0,"(66, 49)","(66, 49)",100,100,0.7,0.2
4316,0.65,0,"(66, 48)","(66, 48)",100,100,0.7,0.2
4315,0.65,0,"(66, 47)","(66, 47)",100,100,0.7,0.2
4314,0.65,0,"(66, 46)","(66, 46)",100,100,0.7,0.2
4313,0.65,0,"(66, 45)","(66, 45)",100,100,0.7,0.2
4312,0.65,0,"(66, 43)","(66, 43)",100,100,0.7,0.2
4311,0.65,0,"(66, 41)","(66, 41)",100,100,0.7,0.2
4310,0.65,0,"(66, 38)","(66, 38)",100,100,0.7,0.2
4309,0.65,0,"(66, 37)","(66, 37)",100,100,0.7,0.2
4308,0.65,0,"(66, 36)","(66, 36)",100,100,0.7,0.2
4307,0.65,0,"(66, 34)","(66, 34)",100,100,0.7,0.2
4306,0.65,0,"(66, 33)","(66, 33)",100,100,0.7,0.2
4305,0.65,0,"(66, 30)","(66, 30)",100,100,0.7,0.2
4304,0.65,0,"(66, 29)","(66, 29)",100,100,0.7,0.2
4303,0.65,0,"(66, 28)","(66, 28)",100,100,0.7,0.2
4302,0.65,0,"(66, 27)","(66, 27)",100,100,0.7,0.2
4323,0.65,0,"(66, 61)","(66, 61)",100,100,0.7,0.2
4301,0.65,0,"(66, 26)","(66, 26)",100,100,0.7,0.2
4324,0.65,0,"(66, 63)","(66, 63)",100,100,0.7,0.2
4326,0.65,0,"(66, 65)","(66, 65)",100,100,0.7,0.2
4347,0.65,0,"(67, 3)","(67, 3)",100,100,0.7,0.2
4346,0.65,0,"(67, 2)","(67, 2)",100,100,0.7,0.2
4345,0.65,0,"(66, 96)","(66, 96)",100,100,0.7,0.2
4344,0.65,0,"(66, 95)","(66, 95)",100,100,0.7,0.2
4343,0.65,0,"(66, 92)","(66, 92)",100,100,0.7,0.2
4342,0.65,0,"(66, 91)","(66, 91)",100,100,0.7,0.2
4341,0.65,0,"(66, 88)","(66, 88)",100,100,0.7,0.2
4340,0.65,0,"(66, 86)","(66, 86)",100,100,0.7,0.2
4339,0.65,0,"(66, 85)","(66, 85)",100,100,0.7,0.2
4338,0.65,0,"(66, 84)","(66, 84)",100,100,0.7,0.2
4337,0.65,0,"(66, 83)","(66, 83)",100,100,0.7,0.2
4336,0.65,0,"(66, 82)","(66, 82)",100,100,0.7,0.2
4335,0.65,0,"(66, 81)","(66, 81)",100,100,0.7,0.2
4334,0.65,0,"(66, 79)","(66, 79)",100,100,0.7,0.2
4333,0.65,0,"(66, 76)","(66, 76)",100,100,0.7,0.2
4332,0.65,0,"(66, 75)","(66, 75)",100,100,0.7,0.2
4331,0.65,0,"(66, 73)","(66, 73)",100,100,0.7,0.2
4330,0.65,0,"(66, 72)","(66, 72)",100,100,0.7,0.2
4329,0.65,0,"(66, 68)","(66, 68)",100,100,0.7,0.2
4328,0.65,0,"(66, 67)","(66, 67)",100,100,0.7,0.2
4327,0.65,0,"(66, 66)","(66, 66)",100,100,0.7,0.2
4325,0.65,0,"(66, 64)","(66, 64)",100,100,0.7,0.2
4300,0.65,0,"(66, 25)","(66, 25)",100,100,0.7,0.2
4299,0.65,0,"(66, 24)","(66, 24)",100,100,0.7,0.2
4298,0.65,0,"(66, 23)","(66, 23)",100,100,0.7,0.2
4271,0.65,0,"(65, 78)","(65, 78)",100,100,0.7,0.2
4270,0.65,0,"(65, 77)","(65, 77)",100,100,0.7,0.2
4269,0.65,0,"(65, 76)","(65, 76)",100,100,0.7,0.2
4268,0.65,0,"(65, 75)","(65, 75)",100,100,0.7,0.2
4267,0.65,0,"(65, 74)","(65, 74)",100,100,0.7,0.2
4266,0.65,0,"(65, 73)","(65, 73)",100,100,0.7,0.2
4265,0.65,0,"(65, 72)","(65, 72)",100,100,0.7,0.2
4264,0.65,0,"(65, 69)","(65, 69)",100,100,0.7,0.2
4263,0.65,0,"(65, 67)","(65, 67)",100,100,0.7,0.2
4262,0.65,0,"(65, 66)","(65, 66)",100,100,0.7,0.2
4261,0.65,0,"(65, 65)","(65, 65)",100,100,0.7,0.2
4260,0.65,0,"(65, 64)","(65, 64)",100,100,0.7,0.2
4259,0.65,0,"(65, 63)","(65, 63)",100,100,0.7,0.2
4258,0.65,0,"(65, 61)","(65, 61)",100,100,0.7,0.2
4257,0.65,0,"(65, 59)","(65, 59)",100,100,0.7,0.2
4256,0.65,0,"(65, 57)","(65, 57)",100,100,0.7,0.2
4255,0.65,0,"(65, 56)","(65, 56)",100,100,0.7,0.2
4254,0.65,0,"(65, 54)","(65, 54)",100,100,0.7,0.2
4253,0.65,0,"(65, 50)","(65, 50)",100,100,0.7,0.2
4252,0.65,0,"(65, 49)","(65, 49)",100,100,0.7,0.2
4251,0.65,0,"(65, 48)","(65, 48)",100,100,0.7,0.2
4272,0.65,0,"(65, 79)","(65, 79)",100,100,0.7,0.2
4273,0.65,0,"(65, 84)","(65, 84)",100,100,0.7,0.2
4274,0.65,0,"(65, 85)","(65, 85)",100,100,0.7,0.2
4275,0.65,0,"(65, 86)","(65, 86)",100,100,0.7,0.2
4297,0.65,0,"(66, 21)","(66, 21)",100,100,0.7,0.2
4296,0.65,0,"(66, 18)","(66, 18)",100,100,0.7,0.2
4295,0.65,0,"(66, 16)","(66, 16)",100,100,0.7,0.2
4294,0.65,0,"(66, 15)","(66, 15)",100,100,0.7,0.2
4293,0.65,0,"(66, 14)","(66, 14)",100,100,0.7,0.2
4292,0.65,0,"(66, 12)","(66, 12)",100,100,0.7,0.2
4291,0.65,0,"(66, 11)","(66, 11)",100,100,0.7,0.2
4290,0.65,0,"(66, 10)","(66, 10)",100,100,0.7,0.2
4289,0.65,0,"(66, 9)","(66, 9)",100,100,0.7,0.2
4288,0.65,0,"(66, 7)","(66, 7)",100,100,0.7,0.2
4348,0.65,0,"(67, 5)","(67, 5)",100,100,0.7,0.2
4287,0.65,0,"(66, 6)","(66, 6)",100,100,0.7,0.2
4285,0.65,0,"(66, 0)","(66, 0)",100,100,0.7,0.2
4284,0.65,0,"(65, 98)","(65, 98)",100,100,0.7,0.2
4283,0.65,0,"(65, 95)","(65, 95)",100,100,0.7,0.2
4282,0.65,0,"(65, 94)","(65, 94)",100,100,0.7,0.2
4281,0.65,0,"(65, 93)","(65, 93)",100,100,0.7,0.2
4280,0.65,0,"(65, 92)","(65, 92)",100,100,0.7,0.2
4279,0.65,0,"(65, 91)","(65, 91)",100,100,0.7,0.2
4278,0.65,0,"(65, 90)","(65, 90)",100,100,0.7,0.2
4277,0.65,0,"(65, 89)","(65, 89)",100,100,0.7,0.2
4276,0.65,0,"(65, 88)","(65, 88)",100,100,0.7,0.2
4286,0.65,0,"(66, 1)","(66, 1)",100,100,0.7,0.2
4250,0.65,0,"(65, 45)","(65, 45)",100,100,0.7,0.2
4349,0.65,0,"(67, 8)","(67, 8)",100,100,0.7,0.2
4351,0.65,0,"(67, 11)","(67, 11)",100,100,0.7,0.2
4423,0.65,0,"(68, 21)","(68, 21)",100,100,0.7,0.2
4422,0.65,0,"(68, 20)","(68, 20)",100,100,0.7,0.2
4421,0.65,0,"(68, 19)","(68, 19)",100,100,0.7,0.2
4420,0.65,0,"(68, 18)","(68, 18)",100,100,0.7,0.2
4419,0.65,0,"(68, 17)","(68, 17)",100,100,0.7,0.2
4418,0.65,0,"(68, 15)","(68, 15)",100,100,0.7,0.2
4417,0.65,0,"(68, 14)","(68, 14)",100,100,0.7,0.2
4416,0.65,0,"(68, 12)","(68, 12)",100,100,0.7,0.2
4415,0.65,0,"(68, 10)","(68, 10)",100,100,0.7,0.2
4414,0.65,0,"(68, 9)","(68, 9)",100,100,0.7,0.2
4413,0.65,0,"(68, 8)","(68, 8)",100,100,0.7,0.2
4412,0.65,0,"(68, 6)","(68, 6)",100,100,0.7,0.2
4411,0.65,0,"(68, 4)","(68, 4)",100,100,0.7,0.2
4410,0.65,0,"(68, 3)","(68, 3)",100,100,0.7,0.2
4409,0.65,0,"(68, 2)","(68, 2)",100,100,0.7,0.2
4408,0.65,0,"(68, 0)","(68, 0)",100,100,0.7,0.2
4407,0.65,0,"(67, 99)","(67, 99)",100,100,0.7,0.2
4406,0.65,0,"(67, 95)","(67, 95)",100,100,0.7,0.2
4405,0.65,0,"(67, 93)","(67, 93)",100,100,0.7,0.2
4404,0.65,0,"(67, 92)","(67, 92)",100,100,0.7,0.2
4403,0.65,0,"(67, 91)","(67, 91)",100,100,0.7,0.2
4424,0.65,0,"(68, 22)","(68, 22)",100,100,0.7,0.2
4402,0.65,0,"(67, 90)","(67, 90)",100,100,0.7,0.2
4425,0.65,0,"(68, 23)","(68, 23)",100,100,0.7,0.2
4427,0.65,0,"(68, 25)","(68, 25)",100,100,0.7,0.2
4448,0.65,0,"(68, 54)","(68, 54)",100,100,0.7,0.2
4447,0.65,0,"(68, 51)","(68, 51)",100,100,0.7,0.2
4446,0.65,0,"(68, 50)","(68, 50)",100,100,0.7,0.2
4445,0.65,0,"(68, 49)","(68, 49)",100,100,0.7,0.2
4444,0.65,0,"(68, 48)","(68, 48)",100,100,0.7,0.2
4443,0.65,0,"(68, 46)","(68, 46)",100,100,0.7,0.2
4442,0.65,0,"(68, 45)","(68, 45)",100,100,0.7,0.2
4441,0.65,0,"(68, 44)","(68, 44)",100,100,0.7,0.2
4440,0.65,0,"(68, 43)","(68, 43)",100,100,0.7,0.2
4439,0.65,0,"(68, 41)","(68, 41)",100,100,0.7,0.2
4438,0.65,0,"(68, 40)","(68, 40)",100,100,0.7,0.2
4437,0.65,0,"(68, 39)","(68, 39)",100,100,0.7,0.2
4436,0.65,0,"(68, 38)","(68, 38)",100,100,0.7,0.2
4435,0.65,0,"(68, 36)","(68, 36)",100,100,0.7,0.2
4434,0.65,0,"(68, 35)","(68, 35)",100,100,0.7,0.2
4433,0.65,0,"(68, 34)","(68, 34)",100,100,0.7,0.2
4432,0.65,0,"(68, 32)","(68, 32)",100,100,0.7,0.2
4431,0.65,0,"(68, 31)","(68, 31)",100,100,0.7,0.2
4430,0.65,0,"(68, 29)","(68, 29)",100,100,0.7,0.2
4429,0.65,0,"(68, 28)","(68, 28)",100,100,0.7,0.2
4428,0.65,0,"(68, 27)","(68, 27)",100,100,0.7,0.2
4426,0.65,0,"(68, 24)","(68, 24)",100,100,0.7,0.2
4401,0.65,0,"(67, 87)","(67, 87)",100,100,0.7,0.2
4400,0.65,0,"(67, 85)","(67, 85)",100,100,0.7,0.2
4399,0.65,0,"(67, 84)","(67, 84)",100,100,0.7,0.2
4372,0.65,0,"(67, 40)","(67, 40)",100,100,0.7,0.2
4371,0.65,0,"(67, 39)","(67, 39)",100,100,0.7,0.2
4370,0.65,0,"(67, 37)","(67, 37)",100,100,0.7,0.2
4369,0.65,0,"(67, 36)","(67, 36)",100,100,0.7,0.2
4368,0.65,0,"(67, 35)","(67, 35)",100,100,0.7,0.2
4367,0.65,0,"(67, 32)","(67, 32)",100,100,0.7,0.2
4366,0.65,0,"(67, 31)","(67, 31)",100,100,0.7,0.2
4365,0.65,0,"(67, 30)","(67, 30)",100,100,0.7,0.2
4364,0.65,0,"(67, 29)","(67, 29)",100,100,0.7,0.2
4363,0.65,0,"(67, 28)","(67, 28)",100,100,0.7,0.2
4362,0.65,0,"(67, 27)","(67, 27)",100,100,0.7,0.2
4361,0.65,0,"(67, 25)","(67, 25)",100,100,0.7,0.2
4360,0.65,0,"(67, 24)","(67, 24)",100,100,0.7,0.2
4359,0.65,0,"(67, 23)","(67, 23)",100,100,0.7,0.2
4358,0.65,0,"(67, 22)","(67, 22)",100,100,0.7,0.2
4357,0.65,0,"(67, 21)","(67, 21)",100,100,0.7,0.2
4356,0.65,0,"(67, 19)","(67, 19)",100,100,0.7,0.2
4355,0.65,0,"(67, 18)","(67, 18)",100,100,0.7,0.2
4354,0.65,0,"(67, 15)","(67, 15)",100,100,0.7,0.2
4353,0.65,0,"(67, 13)","(67, 13)",100,100,0.7,0.2
4352,0.65,0,"(67, 12)","(67, 12)",100,100,0.7,0.2
4373,0.65,0,"(67, 42)","(67, 42)",100,100,0.7,0.2
4374,0.65,0,"(67, 44)","(67, 44)",100,100,0.7,0.2
4375,0.65,0,"(67, 45)","(67, 45)",100,100,0.7,0.2
4376,0.65,0,"(67, 49)","(67, 49)",100,100,0.7,0.2
4398,0.65,0,"(67, 83)","(67, 83)",100,100,0.7,0.2
4397,0.65,0,"(67, 81)","(67, 81)",100,100,0.7,0.2
4396,0.65,0,"(67, 79)","(67, 79)",100,100,0.7,0.2
4395,0.65,0,"(67, 78)","(67, 78)",100,100,0.7,0.2
4394,0.65,0,"(67, 77)","(67, 77)",100,100,0.7,0.2
4393,0.65,0,"(67, 76)","(67, 76)",100,100,0.7,0.2
4392,0.65,0,"(67, 75)","(67, 75)",100,100,0.7,0.2
4391,0.65,0,"(67, 74)","(67, 74)",100,100,0.7,0.2
4390,0.65,0,"(67, 72)","(67, 72)",100,100,0.7,0.2
4389,0.65,0,"(67, 71)","(67, 71)",100,100,0.7,0.2
4350,0.65,0,"(67, 9)","(67, 9)",100,100,0.7,0.2
