,density,Run,AgentId,Posição,height,width,fireman
0,0.65,0,"(0, 2)","(0, 2)",100,100,0.8
4319,0.65,0,"(66, 95)","(66, 95)",100,100,0.8
4318,0.65,0,"(66, 93)","(66, 93)",100,100,0.8
4317,0.65,0,"(66, 92)","(66, 92)",100,100,0.8
4316,0.65,0,"(66, 91)","(66, 91)",100,100,0.8
4315,0.65,0,"(66, 89)","(66, 89)",100,100,0.8
4314,0.65,0,"(66, 87)","(66, 87)",100,100,0.8
4313,0.65,0,"(66, 86)","(66, 86)",100,100,0.8
4312,0.65,0,"(66, 85)","(66, 85)",100,100,0.8
4311,0.65,0,"(66, 84)","(66, 84)",100,100,0.8
4310,0.65,0,"(66, 81)","(66, 81)",100,100,0.8
4309,0.65,0,"(66, 78)","(66, 78)",100,100,0.8
4308,0.65,0,"(66, 76)","(66, 76)",100,100,0.8
4307,0.65,0,"(66, 75)","(66, 75)",100,100,0.8
4306,0.65,0,"(66, 74)","(66, 74)",100,100,0.8
4305,0.65,0,"(66, 72)","(66, 72)",100,100,0.8
4304,0.65,0,"(66, 71)","(66, 71)",100,100,0.8
4303,0.65,0,"(66, 70)","(66, 70)",100,100,0.8
4302,0.65,0,"(66, 68)","(66, 68)",100,100,0.8
4301,0.65,0,"(66, 67)","(66, 67)",100,100,0.8
4300,0.65,0,"(66, 66)","(66, 66)",100,100,0.8
4299,0.65,0,"(66, 65)","(66, 65)",100,100,0.8
4320,0.65,0,"(66, 96)","(66, 96)",100,100,0.8
4298,0.65,0,"(66, 63)","(66, 63)",100,100,0.8
4321,0.65,0,"(66, 97)","(66, 97)",100,100,0.8
4323,0.65,0,"(66, 99)","(66, 99)",100,100,0.8
4344,0.65,0,"(67, 30)","(67, 30)",100,100,0.8
4343,0.65,0,"(67, 29)","(67, 29)",100,100,0.8
4342,0.65,0,"(67, 25)","(67, 25)",100,100,0.8
4341,0.65,0,"(67, 23)","(67, 23)",100,100,0.8
4340,0.65,0,"(67, 22)","(67, 22)",100,100,0.8
4339,0.65,0,"(67, 21)","(67, 21)",100,100,0.8
4338,0.65,0,"(67, 18)","(67, 18)",100,100,0.8
4337,0.65,0,"(67, 17)","(67, 17)",100,100,0.8
4336,0.65,0,"(67, 16)","(67, 16)",100,100,0.8
4335,0.65,0,"(67, 14)","(67, 14)",100,100,0.8
4334,0.65,0,"(67, 13)","(67, 13)",100,100,0.8
4333,0.65,0,"(67, 12)","(67, 12)",100,100,0.8
4332,0.65,0,"(67, 11)","(67, 11)",100,100,0.8
4331,0.65,0,"(67, 10)","(67, 10)",100,100,0.8
4330,0.65,0,"(67, 9)","(67, 9)",100,100,0.8
4329,0.65,0,"(67, 8)","(67, 8)",100,100,0.8
4328,0.65,0,"(67, 7)","(67, 7)",100,100,0.8
4327,0.65,0,"(67, 5)","(67, 5)",100,100,0.8
4326,0.65,0,"(67, 3)","(67, 3)",100,100,0.8
4325,0.65,0,"(67, 2)","(67, 2)",100,100,0.8
4324,0.65,0,"(67, 1)","(67, 1)",100,100,0.8
4322,0.65,0,"(66, 98)","(66, 98)",100,100,0.8
4297,0.65,0,"(66, 62)","(66, 62)",100,100,0.8
4296,0.65,0,"(66, 60)","(66, 60)",100,100,0.8
4295,0.65,0,"(66, 59)","(66, 59)",100,100,0.8
4268,0.65,0,"(66, 10)","(66, 10)",100,100,0.8
4267,0.65,0,"(66, 8)","(66, 8)",100,100,0.8
4266,0.65,0,"(66, 5)","(66, 5)",100,100,0.8
4265,0.65,0,"(66, 4)","(66, 4)",100,100,0.8
4264,0.65,0,"(66, 3)","(66, 3)",100,100,0.8
4263,0.65,0,"(66, 2)","(66, 2)",100,100,0.8
4262,0.65,0,"(66, 0)","(66, 0)",100,100,0.8
4261,0.65,0,"(65, 98)","(65, 98)",100,100,0.8
4260,0.65,0,"(65, 97)","(65, 97)",100,100,0.8
4259,0.65,0,"(65, 96)","(65, 96)",100,100,0.8
4258,0.65,0,"(65, 95)","(65, 95)",100,100,0.8
4257,0.65,0,"(65, 94)","(65, 94)",100,100,0.8
4256,0.65,0,"(65, 93)","(65, 93)",100,100,0.8
4255,0.65,0,"(65, 92)","(65, 92)",100,100,0.8
4254,0.65,0,"(65, 91)","(65, 91)",100,100,0.8
4253,0.65,0,"(65, 89)","(65, 89)",100,100,0.8
4252,0.65,0,"(65, 88)","(65, 88)",100,100,0.8
4251,0.65,0,"(65, 87)","(65, 87)",100,100,0.8
4250,0.65,0,"(65, 86)","(65, 86)",100,100,0.8
4249,0.65,0,"(65, 85)","(65, 85)",100,100,0.8
4248,0.65,0,"(65, 84)","(65, 84)",100,100,0.8
4269,0.65,0,"(66, 16)","(66, 16)",100,100,0.8
4270,0.65,0,"(66, 17)","(66, 17)",100,100,0.8
4271,0.65,0,"(66, 19)","(66, 19)",100,100,0.8
4272,0.65,0,"(66, 20)","(66, 20)",100,100,0.8
4294,0.65,0,"(66, 58)","(66, 58)",100,100,0.8
4293,0.65,0,"(66, 55)","(66, 55)",100,100,0.8
4292,0.65,0,"(66, 54)","(66, 54)",100,100,0.8
4291,0.65,0,"(66, 52)","(66, 52)",100,100,0.8
4290,0.65,0,"(66, 51)","(66, 51)",100,100,0.8
4289,0.65,0,"(66, 50)","(66, 50)",100,100,0.8
4288,0.65,0,"(66, 49)","(66, 49)",100,100,0.8
4287,0.65,0,"(66, 46)","(66, 46)",100,100,0.8
4286,0.65,0,"(66, 43)","(66, 43)",100,100,0.8
4285,0.65,0,"(66, 42)","(66, 42)",100,100,0.8
4345,0.65,0,"(67, 31)","(67, 31)",100,100,0.8
4284,0.65,0,"(66, 39)","(66, 39)",100,100,0.8
4282,0.65,0,"(66, 37)","(66, 37)",100,100,0.8
4281,0.65,0,"(66, 36)","(66, 36)",100,100,0.8
4280,0.65,0,"(66, 35)","(66, 35)",100,100,0.8
4279,0.65,0,"(66, 34)","(66, 34)",100,100,0.8
4278,0.65,0,"(66, 33)","(66, 33)",100,100,0.8
4277,0.65,0,"(66, 27)","(66, 27)",100,100,0.8
4276,0.65,0,"(66, 26)","(66, 26)",100,100,0.8
4275,0.65,0,"(66, 25)","(66, 25)",100,100,0.8
4274,0.65,0,"(66, 23)","(66, 23)",100,100,0.8
4273,0.65,0,"(66, 22)","(66, 22)",100,100,0.8
4283,0.65,0,"(66, 38)","(66, 38)",100,100,0.8
4247,0.65,0,"(65, 83)","(65, 83)",100,100,0.8
4346,0.65,0,"(67, 33)","(67, 33)",100,100,0.8
4348,0.65,0,"(67, 36)","(67, 36)",100,100,0.8
4420,0.65,0,"(68, 51)","(68, 51)",100,100,0.8
4419,0.65,0,"(68, 50)","(68, 50)",100,100,0.8
4418,0.65,0,"(68, 49)","(68, 49)",100,100,0.8
4417,0.65,0,"(68, 48)","(68, 48)",100,100,0.8
4416,0.65,0,"(68, 47)","(68, 47)",100,100,0.8
4415,0.65,0,"(68, 45)","(68, 45)",100,100,0.8
4414,0.65,0,"(68, 44)","(68, 44)",100,100,0.8
4413,0.65,0,"(68, 43)","(68, 43)",100,100,0.8
4412,0.65,0,"(68, 37)","(68, 37)",100,100,0.8
4411,0.65,0,"(68, 36)","(68, 36)",100,100,0.8
4410,0.65,0,"(68, 34)","(68, 34)",100,100,0.8
4409,0.65,0,"(68, 33)","(68, 33)",100,100,0.8
4408,0.65,0,"(68, 32)","(68, 32)",100,100,0.8
4407,0.65,0,"(68, 31)","(68, 31)",100,100,0.8
4406,0.65,0,"(68, 30)","(68, 30)",100,100,0.8
4405,0.65,0,"(68, 28)","(68, 28)",100,100,0.8
4404,0.65,0,"(68, 25)","(68, 25)",100,100,0.8
4403,0.65,0,"(68, 24)","(68, 24)",100,100,0.8
4402,0.65,0,"(68, 23)","(68, 23)",100,100,0.8
4401,0.65,0,"(68, 22)","(68, 22)",100,100,0.8
4400,0.65,0,"(68, 20)","(68, 20)",100,100,0.8
4421,0.65,0,"(68, 52)","(68, 52)",100,100,0.8
4399,0.65,0,"(68, 18)","(68, 18)",100,100,0.8
4422,0.65,0,"(68, 53)","(68, 53)",100,100,0.8
4424,0.65,0,"(68, 56)","(68, 56)",100,100,0.8
4445,0.65,0,"(68, 91)","(68, 91)",100,100,0.8
4444,0.65,0,"(68, 89)","(68, 89)",100,100,0.8
4443,0.65,0,"(68, 88)","(68, 88)",100,100,0.8
4442,0.65,0,"(68, 86)","(68, 86)",100,100,0.8
4441,0.65,0,"(68, 82)","(68, 82)",100,100,0.8
4440,0.65,0,"(68, 80)","(68, 80)",100,100,0.8
4439,0.65,0,"(68, 79)","(68, 79)",100,100,0.8
4438,0.65,0,"(68, 78)","(68, 78)",100,100,0.8
4437,0.65,0,"(68, 77)","(68, 77)",100,100,0.8
4436,0.65,0,"(68, 76)","(68, 76)",100,100,0.8
4435,0.65,0,"(68, 75)","(68, 75)",100,100,0.8
4434,0.65,0,"(68, 74)","(68, 74)",100,100,0.8
4433,0.65,0,"(68, 73)","(68, 73)",100,100,0.8
4432,0.65,0,"(68, 71)","(68, 71)",100,100,0.8
4431,0.65,0,"(68, 68)","(68, 68)",100,100,0.8
4430,0.65,0,"(68, 66)","(68, 66)",100,100,0.8
4429,0.65,0,"(68, 65)","(68, 65)",100,100,0.8
4428,0.65,0,"(68, 64)","(68, 64)",100,100,0.8
4427,0.65,0,"(68, 62)","(68, 62)",100,100,0.8
4426,0.65,0,"(68, 61)","(68, 61)",100,100,0.8
4425,0.65,0,"(68, 57)","(68, 57)",100,100,0.8
4423,0.65,0,"(68, 54)","(68, 54)",100,100,0.8
4398,0.65,0,"(68, 16)","(68, 16)",100,100,0.8
4397,0.65,0,"(68, 15)","(68, 15)",100,100,0.8
4396,0.65,0,"(68, 14)","(68, 14)",100,100,0.8
4369,0.65,0,"(67, 68)","(67, 68)",100,100,0.8
4368,0.65,0,"(67, 65)","(67, 65)",100,100,0.8
4367,0.65,0,"(67, 64)","(67, 64)",100,100,0.8
4366,0.65,0,"(67, 63)","(67, 63)",100,100,0.8
4365,0.65,0,"(67, 60)","(67, 60)",100,100,0.8
4364,0.65,0,"(67, 58)","(67, 58)",100,100,0.8
4363,0.65,0,"(67, 57)","(67, 57)",100,100,0.8
4362,0.65,0,"(67, 56)","(67, 56)",100,100,0.8
4361,0.65,0,"(67, 54)","(67, 54)",100,100,0.8
4360,0.65,0,"(67, 53)","(67, 53)",100,100,0.8
4359,0.65,0,"(67, 52)","(67, 52)",100,100,0.8
4358,0.65,0,"(67, 50)","(67, 50)",100,100,0.8
4357,0.65,0,"(67, 47)","(67, 47)",100,100,0.8
4356,0.65,0,"(67, 46)","(67, 46)",100,100,0.8
4355,0.65,0,"(67, 45)","(67, 45)",100,100,0.8
4354,0.65,0,"(67, 42)","(67, 42)",100,100,0.8
4353,0.65,0,"(67, 41)","(67, 41)",100,100,0.8
4352,0.65,0,"(67, 40)","(67, 40)",100,100,0.8
4351,0.65,0,"(67, 39)","(67, 39)",100,100,0.8
4350,0.65,0,"(67, 38)","(67, 38)",100,100,0.8
4349,0.65,0,"(67, 37)","(67, 37)",100,100,0.8
4370,0.65,0,"(67, 69)","(67, 69)",100,100,0.8
4371,0.65,0,"(67, 70)","(67, 70)",100,100,0.8
4372,0.65,0,"(67, 72)","(67, 72)",100,100,0.8
4373,0.65,0,"(67, 74)","(67, 74)",100,100,0.8
4395,0.65,0,"(68, 13)","(68, 13)",100,100,0.8
4394,0.65,0,"(68, 12)","(68, 12)",100,100,0.8
4393,0.65,0,"(68, 10)","(68, 10)",100,100,0.8
4392,0.65,0,"(68, 8)","(68, 8)",100,100,0.8
4391,0.65,0,"(68, 6)","(68, 6)",100,100,0.8
4390,0.65,0,"(68, 3)","(68, 3)",100,100,0.8
4389,0.65,0,"(68, 2)","(68, 2)",100,100,0.8
4388,0.65,0,"(68, 1)","(68, 1)",100,100,0.8
4387,0.65,0,"(67, 99)","(67, 99)",100,100,0.8
4386,0.65,0,"(67, 98)","(67, 98)",100,100,0.8
4347,0.65,0,"(67, 34)","(67, 34)",100,100,0.8
4385,0.65,0,"(67, 97)","(67, 97)",100,100,0.8
4383,0.65,0,"(67, 93)","(67, 93)",100,100,0.8
4382,0.65,0,"(67, 91)","(67, 91)",100,100,0.8
4381,0.65,0,"(67, 89)","(67, 89)",100,100,0.8
4380,0.65,0,"(67, 86)","(67, 86)",100,100,0.8
4379,0.65,0,"(67, 85)","(67, 85)",100,100,0.8
4378,0.65,0,"(67, 84)","(67, 84)",100,100,0.8
4377,0.65,0,"(67, 82)","(67, 82)",100,100,0.8
4376,0.65,0,"(67, 80)","(67, 80)",100,100,0.8
4375,0.65,0,"(67, 79)","(67, 79)",100,100,0.8
4374,0.65,0,"(67, 76)","(67, 76)",100,100,0.8
4384,0.65,0,"(67, 95)","(67, 95)",100,100,0.8
4446,0.65,0,"(68, 92)","(68, 92)",100,100,0.8
4246,0.65,0,"(65, 81)","(65, 81)",100,100,0.8
4244,0.65,0,"(65, 77)","(65, 77)",100,100,0.8
4117,0.65,0,"(63, 88)","(63, 88)",100,100,0.8
4116,0.65,0,"(63, 87)","(63, 87)",100,100,0.8
4115,0.65,0,"(63, 85)","(63, 85)",100,100,0.8
4114,0.65,0,"(63, 84)","(63, 84)",100,100,0.8
4113,0.65,0,"(63, 82)","(63, 82)",100,100,0.8
4112,0.65,0,"(63, 80)","(63, 80)",100,100,0.8
4111,0.65,0,"(63, 79)","(63, 79)",100,100,0.8
4110,0.65,0,"(63, 78)","(63, 78)",100,100,0.8
4109,0.65,0,"(63, 77)","(63, 77)",100,100,0.8
4108,0.65,0,"(63, 76)","(63, 76)",100,100,0.8
4107,0.65,0,"(63, 75)","(63, 75)",100,100,0.8
4106,0.65,0,"(63, 73)","(63, 73)",100,100,0.8
4105,0.65,0,"(63, 72)","(63, 72)",100,100,0.8
4104,0.65,0,"(63, 69)","(63, 69)",100,100,0.8
4103,0.65,0,"(63, 67)","(63, 67)",100,100,0.8
4102,0.65,0,"(63, 64)","(63, 64)",100,100,0.8
4101,0.65,0,"(63, 63)","(63, 63)",100,100,0.8
4100,0.65,0,"(63, 61)","(63, 61)",100,100,0.8
4099,0.65,0,"(63, 60)","(63, 60)",100,100,0.8
4098,0.65,0,"(63, 58)","(63, 58)",100,100,0.8
4097,0.65,0,"(63, 57)","(63, 57)",100,100,0.8
4118,0.65,0,"(63, 89)","(63, 89)",100,100,0.8
4096,0.65,0,"(63, 56)","(63, 56)",100,100,0.8
4119,0.65,0,"(63, 91)","(63, 91)",100,100,0.8
4121,0.65,0,"(63, 94)","(63, 94)",100,100,0.8
4142,0.65,0,"(64, 26)","(64, 26)",100,100,0.8
4141,0.65,0,"(64, 25)","(64, 25)",100,100,0.8
4140,0.65,0,"(64, 24)","(64, 24)",100,100,0.8
4139,0.65,0,"(64, 23)","(64, 23)",100,100,0.8
4138,0.65,0,"(64, 22)","(64, 22)",100,100,0.8
4137,0.65,0,"(64, 21)","(64, 21)",100,100,0.8
4136,0.65,0,"(64, 20)","(64, 20)",100,100,0.8
4135,0.65,0,"(64, 16)","(64, 16)",100,100,0.8
4134,0.65,0,"(64, 15)","(64, 15)",100,100,0.8
4133,0.65,0,"(64, 14)","(64, 14)",100,100,0.8
4132,0.65,0,"(64, 13)","(64, 13)",100,100,0.8
4131,0.65,0,"(64, 12)","(64, 12)",100,100,0.8
4130,0.65,0,"(64, 11)","(64, 11)",100,100,0.8
4129,0.65,0,"(64, 9)","(64, 9)",100,100,0.8
4128,0.65,0,"(64, 8)","(64, 8)",100,100,0.8
4127,0.65,0,"(64, 7)","(64, 7)",100,100,0.8
4126,0.65,0,"(64, 6)","(64, 6)",100,100,0.8
4125,0.65,0,"(64, 5)","(64, 5)",100,100,0.8
4124,0.65,0,"(64, 3)","(64, 3)",100,100,0.8
4123,0.65,0,"(64, 1)","(64, 1)",100,100,0.8
4122,0.65,0,"(63, 98)","(63, 98)",100,100,0.8
4120,0.65,0,"(63, 93)","(63, 93)",100,100,0.8
4095,0.65,0,"(63, 55)","(63, 55)",100,100,0.8
4094,0.65,0,"(63, 54)","(63, 54)",100,100,0.8
4093,0.65,0,"(63, 53)","(63, 53)",100,100,0.8
4066,0.65,0,"(63, 11)","(63, 11)",100,100,0.8
4065,0.65,0,"(63, 10)","(63, 10)",100,100,0.8
