,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
0,0.65,0,"(0, 0)","(0, 0)",100,100,0.95,0.1
4328,0.65,0,"(66, 44)","(66, 44)",100,100,0.95,0.1
4327,0.65,0,"(66, 43)","(66, 43)",100,100,0.95,0.1
4326,0.65,0,"(66, 42)","(66, 42)",100,100,0.95,0.1
4325,0.65,0,"(66, 40)","(66, 40)",100,100,0.95,0.1
4324,0.65,0,"(66, 38)","(66, 38)",100,100,0.95,0.1
4323,0.65,0,"(66, 37)","(66, 37)",100,100,0.95,0.1
4322,0.65,0,"(66, 36)","(66, 36)",100,100,0.95,0.1
4321,0.65,0,"(66, 35)","(66, 35)",100,100,0.95,0.1
4320,0.65,0,"(66, 34)","(66, 34)",100,100,0.95,0.1
4319,0.65,0,"(66, 33)","(66, 33)",100,100,0.95,0.1
4318,0.65,0,"(66, 32)","(66, 32)",100,100,0.95,0.1
4317,0.65,0,"(66, 30)","(66, 30)",100,100,0.95,0.1
4316,0.65,0,"(66, 29)","(66, 29)",100,100,0.95,0.1
4315,0.65,0,"(66, 28)","(66, 28)",100,100,0.95,0.1
4314,0.65,0,"(66, 27)","(66, 27)",100,100,0.95,0.1
4313,0.65,0,"(66, 25)","(66, 25)",100,100,0.95,0.1
4312,0.65,0,"(66, 24)","(66, 24)",100,100,0.95,0.1
4311,0.65,0,"(66, 21)","(66, 21)",100,100,0.95,0.1
4310,0.65,0,"(66, 20)","(66, 20)",100,100,0.95,0.1
4309,0.65,0,"(66, 17)","(66, 17)",100,100,0.95,0.1
4308,0.65,0,"(66, 16)","(66, 16)",100,100,0.95,0.1
4329,0.65,0,"(66, 46)","(66, 46)",100,100,0.95,0.1
4307,0.65,0,"(66, 15)","(66, 15)",100,100,0.95,0.1
4330,0.65,0,"(66, 47)","(66, 47)",100,100,0.95,0.1
4332,0.65,0,"(66, 49)","(66, 49)",100,100,0.95,0.1
4353,0.65,0,"(66, 79)","(66, 79)",100,100,0.95,0.1
4352,0.65,0,"(66, 77)","(66, 77)",100,100,0.95,0.1
4351,0.65,0,"(66, 76)","(66, 76)",100,100,0.95,0.1
4350,0.65,0,"(66, 74)","(66, 74)",100,100,0.95,0.1
4349,0.65,0,"(66, 73)","(66, 73)",100,100,0.95,0.1
4348,0.65,0,"(66, 72)","(66, 72)",100,100,0.95,0.1
4347,0.65,0,"(66, 70)","(66, 70)",100,100,0.95,0.1
4346,0.65,0,"(66, 68)","(66, 68)",100,100,0.95,0.1
4345,0.65,0,"(66, 66)","(66, 66)",100,100,0.95,0.1
4344,0.65,0,"(66, 65)","(66, 65)",100,100,0.95,0.1
4343,0.65,0,"(66, 64)","(66, 64)",100,100,0.95,0.1
4342,0.65,0,"(66, 63)","(66, 63)",100,100,0.95,0.1
4341,0.65,0,"(66, 61)","(66, 61)",100,100,0.95,0.1
4340,0.65,0,"(66, 59)","(66, 59)",100,100,0.95,0.1
4339,0.65,0,"(66, 58)","(66, 58)",100,100,0.95,0.1
4338,0.65,0,"(66, 57)","(66, 57)",100,100,0.95,0.1
4337,0.65,0,"(66, 56)","(66, 56)",100,100,0.95,0.1
4336,0.65,0,"(66, 54)","(66, 54)",100,100,0.95,0.1
4335,0.65,0,"(66, 53)","(66, 53)",100,100,0.95,0.1
4334,0.65,0,"(66, 51)","(66, 51)",100,100,0.95,0.1
4333,0.65,0,"(66, 50)","(66, 50)",100,100,0.95,0.1
4331,0.65,0,"(66, 48)","(66, 48)",100,100,0.95,0.1
4306,0.65,0,"(66, 14)","(66, 14)",100,100,0.95,0.1
4305,0.65,0,"(66, 13)","(66, 13)",100,100,0.95,0.1
4304,0.65,0,"(66, 12)","(66, 12)",100,100,0.95,0.1
4277,0.65,0,"(65, 70)","(65, 70)",100,100,0.95,0.1
4276,0.65,0,"(65, 69)","(65, 69)",100,100,0.95,0.1
4275,0.65,0,"(65, 67)","(65, 67)",100,100,0.95,0.1
4274,0.65,0,"(65, 66)","(65, 66)",100,100,0.95,0.1
4273,0.65,0,"(65, 65)","(65, 65)",100,100,0.95,0.1
4272,0.65,0,"(65, 64)","(65, 64)",100,100,0.95,0.1
4271,0.65,0,"(65, 60)","(65, 60)",100,100,0.95,0.1
4270,0.65,0,"(65, 59)","(65, 59)",100,100,0.95,0.1
4269,0.65,0,"(65, 57)","(65, 57)",100,100,0.95,0.1
4268,0.65,0,"(65, 56)","(65, 56)",100,100,0.95,0.1
4267,0.65,0,"(65, 53)","(65, 53)",100,100,0.95,0.1
4266,0.65,0,"(65, 51)","(65, 51)",100,100,0.95,0.1
4265,0.65,0,"(65, 48)","(65, 48)",100,100,0.95,0.1
4264,0.65,0,"(65, 46)","(65, 46)",100,100,0.95,0.1
4263,0.65,0,"(65, 45)","(65, 45)",100,100,0.95,0.1
4262,0.65,0,"(65, 44)","(65, 44)",100,100,0.95,0.1
4261,0.65,0,"(65, 43)","(65, 43)",100,100,0.95,0.1
4260,0.65,0,"(65, 42)","(65, 42)",100,100,0.95,0.1
